"patchOver_ACTOR_ID_SkeletonPlayer","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton"
"patchOver_CLASS_SKELETON","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton"
"patchOver_SKELTON","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton","Skeleton"
,,,,,,,,
"patchOver_PCSkelBase/Name (Identified)","Yer Regular Old Bones","Yer Regular Old Bones","Yer Regular Old Bones","Yer Regular Old Bones","Yer Regular Old Bones","Yer Regular Old Bones","Yer Regular Old Bones","Yer Regular Old Bones"
"patchOver_PCSkelBase/Description (Identified)","Bones you wear on your...uhhhh.... Well actually I don't know.","Bones you wear on your...uhhhh.... Well actually I don't know.","Bones you wear on your...uhhhh.... Well actually I don't know.","Bones you wear on your...uhhhh.... Well actually I don't know.","Bones you wear on your...uhhhh.... Well actually I don't know.","Bones you wear on your...uhhhh.... Well actually I don't know.","Bones you wear on your...uhhhh.... Well actually I don't know.","Bones you wear on your...uhhhh.... Well actually I don't know."
"patchOver_PCSkelBase/UseText","Put some clothes on.","Put some clothes on.","Put some clothes on.","Put some clothes on.","Put some clothes on.","Put some clothes on.","Put some clothes on.","Put some clothes on."
"patchOver_PCSkelBase/Icon (Identified)","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor"
,,,,,,,,
"patchOver_PCSkelLight/Name (Identified)","Lightly-Armored Meat Scaffold","Lightly-Armored Meat Scaffold","Lightly-Armored Meat Scaffold","Lightly-Armored Meat Scaffold","Lightly-Armored Meat Scaffold","Lightly-Armored Meat Scaffold","Lightly-Armored Meat Scaffold","Lightly-Armored Meat Scaffold"
"patchOver_PCSkelLight/Description (Identified)","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability.","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability.","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability.","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability.","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability.","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability.","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability.","For the zippy skeleton in your life. Minimal stench of death. Favors mobility over security, thus the availability."
"patchOver_PCSkelLight/UseText","So spry, so quick.","So spry, so quick.","So spry, so quick.","So spry, so quick.","So spry, so quick.","So spry, so quick.","So spry, so quick.","So spry, so quick."
